2025-12-28 00:15:06 | WARNING  | app.main             | <module>             | ✗ Failed to load main routes: No module named 'app.api.routes'
2025-12-28 00:15:06 | WARNING  | app.main             | <module>             | ✗ Failed to load optimizer routes: No module named 'app.api.optimizer_routes'
2025-12-28 00:15:06 | INFO     | app.main             | <module>             | ✔ Loaded: data routes
2025-12-28 00:15:06 | INFO     | app.main             | <module>             | ✔ Loaded: indicator routes
2025-12-28 00:15:06 | INFO     | app.main             | <module>             | ✔ Loaded: TRG preset routes
2025-12-28 00:15:06 | INFO     | app.main             | <module>             | ✔ Loaded: Dominant preset routes (/api/presets/*)
2025-12-28 00:15:06 | INFO     | app.main             | <module>             | ✔ Loaded: Signal score routes (/api/signal-score/*)
2025-12-28 00:15:06 | INFO     | app.main             | lifespan             | ============================================================
2025-12-28 00:15:06 | INFO     | app.main             | lifespan             | KOMAS TRADING SERVER v4.0 - STARTING
2025-12-28 00:15:06 | INFO     | app.main             | lifespan             | Log file: C:\Users\Administrator\Desktop\komass\backend\logs\komas_2025-12-28.log
2025-12-28 00:15:06 | INFO     | app.main             | lifespan             | Error log: C:\Users\Administrator\Desktop\komass\backend\logs\errors_2025-12-28.log
2025-12-28 00:15:06 | INFO     | app.main             | lifespan             | ============================================================
2025-12-28 00:15:11 | DEBUG    | app.main             | log_requests         | [0015111345] GET /api/indicator/cache-stats
2025-12-28 00:15:11 | INFO     | app.main             | log_requests         | [0015111345] ✔ GET /api/indicator/cache-stats - 200 (0ms)
2025-12-28 00:15:11 | DEBUG    | app.main             | log_requests         | [0015111424] GET /api/indicator/cache-stats
2025-12-28 00:15:11 | INFO     | app.main             | log_requests         | [0015111424] ✔ GET /api/indicator/cache-stats - 200 (2ms)
2025-12-28 00:15:17 | DEBUG    | app.main             | log_requests         | [0015177879] GET /api/signals/sse/stream
2025-12-28 00:15:17 | INFO     | app.main             | log_requests         | [0015177879] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:15:22 | DEBUG    | app.main             | log_requests         | [0015227986] GET /api/signals/sse/stream
2025-12-28 00:15:22 | INFO     | app.main             | log_requests         | [0015227986] ✗ GET /api/signals/sse/stream - 404 (3ms)
2025-12-28 00:15:22 | DEBUG    | app.main             | log_requests         | [0015228319] GET /api/bots/
2025-12-28 00:15:22 | DEBUG    | app.main             | log_requests         | [0015228324] GET /api/settings/presets
2025-12-28 00:15:22 | INFO     | app.main             | log_requests         | [0015228319] ✗ GET /api/bots/ - 404 (1ms)
2025-12-28 00:15:22 | INFO     | app.main             | log_requests         | [0015228324] ✗ GET /api/settings/presets - 404 (0ms)
2025-12-28 00:15:22 | DEBUG    | app.main             | log_requests         | [0015228345] GET /api/bots/
2025-12-28 00:15:22 | DEBUG    | app.main             | log_requests         | [0015228356] GET /api/settings/presets
2025-12-28 00:15:22 | INFO     | app.main             | log_requests         | [0015228345] ✗ GET /api/bots/ - 404 (1ms)
2025-12-28 00:15:22 | INFO     | app.main             | log_requests         | [0015228356] ✗ GET /api/settings/presets - 404 (1ms)
2025-12-28 00:15:27 | DEBUG    | app.main             | log_requests         | [0015278102] GET /api/signals/sse/stream
2025-12-28 00:15:27 | INFO     | app.main             | log_requests         | [0015278102] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:15:33 | DEBUG    | app.main             | log_requests         | [0015331187] GET /api/signals/sse/stream
2025-12-28 00:15:33 | INFO     | app.main             | log_requests         | [0015331187] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:15:38 | DEBUG    | app.main             | log_requests         | [0015381294] GET /api/signals/sse/stream
2025-12-28 00:15:38 | INFO     | app.main             | log_requests         | [0015381294] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:15:43 | DEBUG    | app.main             | log_requests         | [0015434366] GET /api/signals/sse/stream
2025-12-28 00:15:43 | INFO     | app.main             | log_requests         | [0015434366] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:15:48 | DEBUG    | app.main             | log_requests         | [0015484442] GET /api/signals/sse/stream
2025-12-28 00:15:48 | INFO     | app.main             | log_requests         | [0015484442] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:15:53 | DEBUG    | app.main             | log_requests         | [0015537527] GET /api/signals/sse/stream
2025-12-28 00:15:53 | INFO     | app.main             | log_requests         | [0015537527] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:15:58 | DEBUG    | app.main             | log_requests         | [0015587610] GET /api/signals/sse/stream
2025-12-28 00:15:58 | INFO     | app.main             | log_requests         | [0015587610] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:16:04 | DEBUG    | app.main             | log_requests         | [0016040696] GET /api/signals/sse/stream
2025-12-28 00:16:04 | INFO     | app.main             | log_requests         | [0016040696] ✗ GET /api/signals/sse/stream - 404 (2ms)
2025-12-28 00:16:09 | DEBUG    | app.main             | log_requests         | [0016090789] GET /api/signals/sse/stream
2025-12-28 00:16:09 | INFO     | app.main             | log_requests         | [0016090789] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:16:14 | DEBUG    | app.main             | log_requests         | [0016143882] GET /api/signals/sse/stream
2025-12-28 00:16:14 | INFO     | app.main             | log_requests         | [0016143882] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:16:19 | DEBUG    | app.main             | log_requests         | [0016193960] GET /api/signals/sse/stream
2025-12-28 00:16:19 | INFO     | app.main             | log_requests         | [0016193960] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:16:24 | DEBUG    | app.main             | log_requests         | [0016247045] GET /api/signals/sse/stream
2025-12-28 00:16:24 | INFO     | app.main             | log_requests         | [0016247045] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:16:29 | DEBUG    | app.main             | log_requests         | [0016297132] GET /api/signals/sse/stream
2025-12-28 00:16:29 | INFO     | app.main             | log_requests         | [0016297132] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:16:35 | DEBUG    | app.main             | log_requests         | [0016350209] GET /api/signals/sse/stream
2025-12-28 00:16:35 | INFO     | app.main             | log_requests         | [0016350209] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:16:40 | DEBUG    | app.main             | log_requests         | [0016400297] GET /api/signals/sse/stream
2025-12-28 00:16:40 | INFO     | app.main             | log_requests         | [0016400297] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:16:45 | DEBUG    | app.main             | log_requests         | [0016453383] GET /api/signals/sse/stream
2025-12-28 00:16:45 | INFO     | app.main             | log_requests         | [0016453383] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:16:50 | DEBUG    | app.main             | log_requests         | [0016503447] GET /api/signals/sse/stream
2025-12-28 00:16:50 | INFO     | app.main             | log_requests         | [0016503447] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:16:55 | DEBUG    | app.main             | log_requests         | [0016556523] GET /api/signals/sse/stream
2025-12-28 00:16:55 | INFO     | app.main             | log_requests         | [0016556523] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:17:00 | DEBUG    | app.main             | log_requests         | [0017006596] GET /api/signals/sse/stream
2025-12-28 00:17:00 | INFO     | app.main             | log_requests         | [0017006596] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:17:05 | DEBUG    | app.main             | log_requests         | [0017059682] GET /api/signals/sse/stream
2025-12-28 00:17:05 | INFO     | app.main             | log_requests         | [0017059682] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:17:10 | DEBUG    | app.main             | log_requests         | [0017109758] GET /api/signals/sse/stream
2025-12-28 00:17:10 | INFO     | app.main             | log_requests         | [0017109758] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:17:16 | DEBUG    | app.main             | log_requests         | [0017167043] GET /api/signals/sse/stream
2025-12-28 00:17:16 | INFO     | app.main             | log_requests         | [0017167043] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:17:22 | DEBUG    | app.main             | log_requests         | [0017224029] GET /api/signals/sse/stream
2025-12-28 00:17:22 | INFO     | app.main             | log_requests         | [0017224029] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:17:28 | DEBUG    | app.main             | log_requests         | [0017287038] GET /api/signals/sse/stream
2025-12-28 00:17:28 | INFO     | app.main             | log_requests         | [0017287038] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:17:34 | DEBUG    | app.main             | log_requests         | [0017344025] GET /api/signals/sse/stream
2025-12-28 00:17:34 | INFO     | app.main             | log_requests         | [0017344025] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:17:40 | DEBUG    | app.main             | log_requests         | [0017407044] GET /api/signals/sse/stream
2025-12-28 00:17:40 | INFO     | app.main             | log_requests         | [0017407044] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:17:46 | DEBUG    | app.main             | log_requests         | [0017464032] GET /api/signals/sse/stream
2025-12-28 00:17:46 | INFO     | app.main             | log_requests         | [0017464032] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:17:52 | DEBUG    | app.main             | log_requests         | [0017527048] GET /api/signals/sse/stream
2025-12-28 00:17:52 | INFO     | app.main             | log_requests         | [0017527048] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:17:58 | DEBUG    | app.main             | log_requests         | [0017584016] GET /api/signals/sse/stream
2025-12-28 00:17:58 | INFO     | app.main             | log_requests         | [0017584016] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:18:04 | DEBUG    | app.main             | log_requests         | [0018047056] GET /api/signals/sse/stream
2025-12-28 00:18:04 | INFO     | app.main             | log_requests         | [0018047056] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:18:10 | DEBUG    | app.main             | log_requests         | [0018104019] GET /api/signals/sse/stream
2025-12-28 00:18:10 | INFO     | app.main             | log_requests         | [0018104019] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:18:16 | DEBUG    | app.main             | log_requests         | [0018167018] GET /api/signals/sse/stream
2025-12-28 00:18:16 | INFO     | app.main             | log_requests         | [0018167018] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:18:22 | DEBUG    | app.main             | log_requests         | [0018224029] GET /api/signals/sse/stream
2025-12-28 00:18:22 | INFO     | app.main             | log_requests         | [0018224029] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:18:28 | DEBUG    | app.main             | log_requests         | [0018287038] GET /api/signals/sse/stream
2025-12-28 00:18:28 | INFO     | app.main             | log_requests         | [0018287038] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:18:34 | DEBUG    | app.main             | log_requests         | [0018344044] GET /api/signals/sse/stream
2025-12-28 00:18:34 | INFO     | app.main             | log_requests         | [0018344044] ✗ GET /api/signals/sse/stream - 404 (0ms)
2025-12-28 00:18:40 | DEBUG    | app.main             | log_requests         | [0018407056] GET /api/signals/sse/stream
2025-12-28 00:18:40 | INFO     | app.main             | log_requests         | [0018407056] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:18:46 | DEBUG    | app.main             | log_requests         | [0018464025] GET /api/signals/sse/stream
2025-12-28 00:18:46 | INFO     | app.main             | log_requests         | [0018464025] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:18:52 | DEBUG    | app.main             | log_requests         | [0018527029] GET /api/signals/sse/stream
2025-12-28 00:18:52 | INFO     | app.main             | log_requests         | [0018527029] ✗ GET /api/signals/sse/stream - 404 (1ms)
2025-12-28 00:18:58 | DEBUG    | app.main             | log_requests         | [0018584027] GET /api/signals/sse/stream
